Calle Leopoldo Alas Clarín, Madrid
Calle de Valderribas, Madrid
Calle de Francisco Abril, Madrid
Calle Siguero, Madrid
Calle Dionisio Ridruejo, Madrid
Calle de Gabriela Mistral, Madrid
Calle de Vigo, Madrid
Avenida de la Ciudad de Barcelona, Madrid
Calle Braojos, Madrid
Calle de los Gavilanes, Madrid
Calle Rosalía de Castro, Madrid
Calle Navarredonda de Gredos, Madrid
Calle Fresnedillas, Madrid
Calle Navaluenga, Madrid
Calle Somontes, Madrid
Calle Alberca, Madrid
Calle Islas de Cabo Verde, Madrid
Calle Alejandro Casona, Madrid
